YYYY,TMax,TAvg,TMin,luxMax,luxAvg
2006,6.20,2.54,0.02,,
2007,7.54,1.83,-1.67,2497.20,98.68
2008,7.78,1.55,-1.80,1722.20,24.71
2009,7.58,0.93,-1.91,3444.50,78.15
2010,8.08,0.79,-1.80,1636.10,45.51
2011,7.08,1.03,-1.91,2669.50,64.01
2012,7.78,1.75,-1.80,1141.00,27.62
2013,8.18,2.41,-1.80,1291.70,9.97
2014,7.98,3.59,-0.33,1270.10,49.00
2015,8.48,1.55,-1.80,1722.20,29.39
2016,9.18,3.09,-0.55,1313.20,43.83
2017,8.98,3.21,-1.57,1001.00,19.85
2018,8.28,1.88,-1.68,344.40,5.46
2019,9.67,2.40,-1.80,1550.00,24.64
2020,9.37,1.58,-2.03,1550.00,47.07
2021,7.28,1.92,-1.80,4305.60,64.64
2022,9.97,1.30,-1.80,2066.70,79.56
