YYYY,TMax,TAvg,TMin,luxMax,luxAvg
2006,5.64,2.57,0.16,,
2007,6.91,1.65,-1.73,1722.20,59.04
2008,6.37,1.46,-1.91,2583.40,95.63
2009,7.18,0.95,-1.68,2325.00,64.10
2010,8.08,0.64,-1.80,2325.00,89.27
2011,6.67,0.96,-1.91,1463.90,52.61
2012,7.78,1.77,-1.68,904.20,19.76
2013,7.08,2.40,-1.68,1065.60,11.28
2014,7.88,2.94,-0.33,699.70,17.85
2015,7.88,1.42,-1.80,968.80,13.47
2016,7.58,3.01,-0.55,1022.60,20.10
2017,8.38,3.15,-1.57,979.50,25.99
2018,7.68,1.87,-1.57,979.50,29.27
2019,9.47,2.42,-1.68,1894.50,73.61
2020,8.18,1.66,-1.68,1097.90,57.12
2021,6.47,1.88,-1.68,3100.00,92.55
2022,8.48,1.16,-1.68,2325.00,108.29
